source,target
lorenzobenussi,FusacchiA
noemisatta,ProgettoRENA
beavillari,ProgettoRENA
beavillari,napo
mantralex,f_galtieri
mantralex,FLuccisano
mantralex,ProgettoRENA
f_galtieri,killermedia
f_galtieri,ProgettoRENA
mamacaluda,FraMazzocchi
FBrudaglio,tarmelop
FBrudaglio,ProgettoRENA
noemisatta,f_galtieri
noemisatta,ProgettoRENA
Becrowdy,AleBezzi
simonebor,ProgettoRENA
simonebor,FLuccisano
simonebor,davideagazzi
simonebor,clodcop
simonebor,letiziapian
f_galtieri,ivanapais
f_galtieri,ProgettoRENA
andrecatta,Annibaledelia
f_galtieri,PierG
f_galtieri,FusacchiA
EmilBanca,matteolepore
WIP4EU,ProgettoRENA
WIP4EU,FLuccisano
TorinoAnni10,BolloAlessandro
fiammato,chrisiaio
RobCacciatore,ProgettoRENA
RobCacciatore,damienlanfrey
ArtOfDecisions,ZazzaNM
LiveUru,dskutz
AlessandraFeol1,clodcop
AlessandraFeol1,ProgettoRENA
AlessandraFeol1,Labsus1
34fuso,BAMstracult
34fuso,mantralex
battagliaem,RuralHub
battagliaem,mantralex
violamargiotta,chrisiaio
f_galtieri,Erica_sir
f_galtieri,chrisiaio
f_galtieri,Labsus1
ProgettoRENA,FLuccisano
FBrudaglio,EmilBanca
FBrudaglio,FLuccisano
larobbi,TorselloM
larobbi,GSRomeHub
TorinoAnni10,dgiluz
enzolefevre,MicheledAlena
diegoteloni,stefanomicelli
wepushsocial,sigfreedo
wepushsocial,ProgettoRENA
wepushsocial,ValeriaAdani
dnaleph,ProgettoRENA
Ravenna2019,FLuccisano
f_galtieri,diegoteloni
f_galtieri,stefanomicelli
larobbi,napo
larobbi,ProgettoRENA
AlbStornelli,giusate
AlbStornelli,batty82
AlbStornelli,dimarconicola
AlbStornelli,ProgettoRENA
davideagazzi,ProgettoRENA
LiveUru,larobbi
LiveUru,FusacchiA
LiveUru,ProgettoRENA
ivanapais,Ale_Nigro
ivanapais,ProgettoRENA
vivaioimprese,dgiluz
enzolefevre,TorselloM
enzolefevre,GSRomeHub
Iris_Network,ProgettoRENA
karmainspace,chrisiaio
ProgettoRENA,larobbi
ProgettoRENA,FLuccisano
ProgettoRENA,davideagazzi
ProgettoRENA,ProgettoRENA
ComunicaMenteBO,matteolepore
alevaccari,PierG
alevaccari,mamacaluda
alevaccari,dgiluz
AleBezzi,briguzia
AleBezzi,AleBezzi
MaxDelFerraro,ProgettoRENA
MaxDelFerraro,meedabyte
f_galtieri,marco_vignoli
f_galtieri,FusacchiA
f_galtieri,vignolimatteo
larobbi,aperdichizzi
larobbi,FusacchiA
RRocelli,Socialseed_
okfnitaly,damienlanfrey
metiuuitem,napo
metiuuitem,FusacchiA
saroversi,Ffoodinstitute
saroversi,ProgettoRENA
FBrudaglio,FraMazzocchi
FBrudaglio,ProgettoRENA
sociolab_tweet,ProgettoRENA
sociolab_tweet,FLuccisano
ProgettoRENA,chrisiaio
ProgettoRENA,Labsus1
AleBezzi,TorinoAnni10
AleBezzi,BolloAlessandro
enzolefevre,IlariaLani
Malusblade,aperdichizzi
Malusblade,ProgettoRENA
mrcfabbri,Annibaledelia
killermedia,PuntoDock
killermedia,BAMstracult
killermedia,f_galtieri
vivaioimprese,FusacchiA
LucaCominassi,napo
Socialseed_,PuntoDock
f_galtieri,PierG
f_galtieri,napo
siboc,FBrudaglio
ProgettoRENA,Ffoodinstitute
ProgettoRENA,matteolepore
ProgettoRENA,YouCanGroup
ProgettoRENA,ProgettoRENA
CosimoGuccione,ProgettoRENA
CosimoGuccione,ChiaraPeggy
Acquarius75,napo
GiancaBergamo,Tukulti_Ninurta
GiancaBergamo,MicheledAlena
enzolefevre,Tukulti_Ninurta
enzolefevre,MicheledAlena
pagheno,ProgettoRENA
pagheno,ivanapais
bobpersio,andrecatta
bobpersio,FLuccisano
isaangiuli,Emuratori
isaangiuli,FLuccisano
isaangiuli,mamacaluda
isaangiuli,isaangiuli
isaangiuli,FraMazzocchi
isaangiuli,addibbi
napo,sociolab_tweet
napo,napo
VZappino,sergiostumpo
VZappino,domenicoros
VZappino,VitaDario
VZappino,calabriativi
frarusso,ProgettoRENA
frarusso,FLuccisano
Ffoodinstitute,matteolepore
enzolefevre,luca_biancucci
enzolefevre,ChiaraPeggy
enzolefevre,ProgettoRENA
LiatRogel,ProgettoRENA
LiatRogel,HousingLab
matteobettoli,OOPgiovani
matteobettoli,paolocampagnano
matteobettoli,indugiare
matteobettoli,RanghioFrance
matteobettoli,1Mattia1
matteobettoli,matteobettoli
bia_hvid,FusacchiA
guglielmoa,MattiaSullini
guglielmoa,ivanapais
TorinoAnni10,ChiaraPeggy
clarainbeta,urbanohumano
clarainbeta,clarainbeta
clarainbeta,MicheledAlena
clarainbeta,meedabyte
clarainbeta,Collaboriamo
alexfoudon,TTmobile_
Cittadinireatti,YouCanGroup
andrecatta,FusacchiA
Tukulti_Ninurta,FusacchiA
Tukulti_Ninurta,MiurSocial
ProgettoRENA,damienlanfrey
hubspa,larobbi
hubspa,clodcop
hubspa,ProgettoRENA
alisabn,f_galtieri
alisabn,ChiaraPeggy
socialPA_RM,stefymilo
socialPA_RM,stefanomicelli
egferro,damienlanfrey
FBrudaglio,TTmobile_
stef_proietti,f_galtieri
TorinoAnni10,Liberos2
TorinoAnni10,BolloAlessandro
VulcanicaMente,killermedia
VulcanicaMente,FLuccisano
VulcanicaMente,ProgettoRENA
patriziasaggia,metiuuitem
patriziasaggia,dskutz
patriziasaggia,spaghetti_folks
patriziasaggia,patriziasaggia
muuffa,startsaturdays
CasaNetural,Societing_SC
CasaNetural,Rafr
CasaNetural,AmareRecoba
CasaNetural,andreadanielli
siboc,ProgettoRENA
TorinoAnni10,Liberos2
violamargiotta,ChiaraPeggy
guglielmoa,meedabyte
CoderDojoLe,ADelliNoci
CoderDojoLe,Piersoft
CoderDojoLe,gabrimorelli
CoderDojoLe,violamargiotta
CoderDojoLe,CoderDojoLe
YouCanGroup,Ffoodinstitute
YouCanGroup,alcenero
RobCacciatore,Acquarius75
RobCacciatore,FHumanplus
socialPA_RM,PierG
AgostinoRiitano,meedabyte
bobpersio,bia_hvid
bobpersio,ProgettoRENA
e_martinotti,egferro
e_martinotti,ProgettoRENA
e_martinotti,FLuccisano
e_martinotti,FusacchiA
e_martinotti,davidecanavesio
e_martinotti,e_martinotti
metiuuitem,ProgettoRENA
f_galtieri,adagio84
socialPA_RM,aperdichizzi
fedepank,f_galtieri
fedepank,Emblema_
fedepank,ProgettoRENA
Tukulti_Ninurta,TorinoAnni10
Tukulti_Ninurta,stefanomicelli
adagio84,ProgettoRENA
spettandoGodot,saroversi
spettandoGodot,Sardexnet
VulcanicaMente,Emiliana_Me
VulcanicaMente,ProgettoRENA
VulcanicaMente,ProgettoRENA
saroversi,Emiliana_Me
saroversi,ProgettoRENA
saroversi,_CleaNap
napo,Emuratori
napo,napo
michiamofede,AlessandroBollo
michiamofede,CultPopSocCoop
alevaccari,EmilBanca
alevaccari,damienlanfrey
muuffa,ChiaraPeggy
IginoPoggiali,Emiliana_Me
IginoPoggiali,ivanapais
IginoPoggiali,_CleaNap
IginoPoggiali,BikeSharingNa
LiveUru,FLuccisano
LiveUru,ProgettoRENA
LiveUru,AFusacchia
LiveUru,laurafigazzolo
Ffoodinstitute,ProgettoRENA
mamacaluda,ChiaraPeggy
massimosanti,antoniolazzari
ChiaraPeggy,ProgettoRENA
ChiaraPeggy,FusacchiA
cesenalab,ProgettoRENA
cesenalab,FusacchiA
tagliatella1,ZEPHIROTORNA
damienlanfrey,FLuccisano
damienlanfrey,damienlanfrey
TorinoAnni10,S_Salvi
erstartup,YouCanGroup
erstartup,FLuccisano
f_galtieri,ValComm
f_galtieri,napo
f_galtieri,napo
AngeloBongio,MattiaSullini
AngeloBongio,stefanomicelli
RosaBorgognoni,napo
PierG,dclfbk
PierG,napo
f_galtieri,PierG
Cittadinireatti,proge
pagheno,ProgettoRENA
pagheno,ivanapais
franleu,FLuccisano
Robertap526,ProgettoRENA
socialPA_RM,ProgettoRENA
urbanohumano,clarainbeta
urbanohumano,MicheledAlena
urbanohumano,meedabyte
urbanohumano,Collaboriamo
startsaturdays,ivanapais
EmilBanca,stefanomicelli
e_martinotti,lorenzobenussi
bia_hvid,ZazzaNM
addibbi,ProgettoRENA
addibbi,ivanapais
LiveUru,franleu
LiveUru,pcapellino
LiveUru,ElisaCasetta
LiveUru,E_tci
LiveUru,ire_rete
